round,send_time,recv_time,rtt,status
1,1773955298.1203618,1773955300.226963,2.1066012382507324,success
2,1773955303.150389,1773955305.2411482,2.09075927734375,success
"sender: client0, message: > hello from client0"
3,1773955308.1749625,1773955310.212179,2.0372164249420166,success
4,1773955313.1972702,1773955315.2736847,2.0764145851135254,success
"sender: client0, message: > hello from client0"
5,1773955318.217458,1773955320.3114088,2.0939507484436035,success
"sender: client0, message: > hello from client0"
6,1773955323.2517343,1773955325.3471878,2.0954535007476807,success
"sender: client0, message: > hello from client0"
7,1773955328.2728868,1773955330.3682585,2.095371723175049,success
"sender: client0, message: > hello from client0"
8,1773955333.298106,1773955335.3534698,2.055363893508911,success
"sender: client0, message: > hello from client0"
9,1773955338.3444045,1773955340.331178,1.9867734909057617,success
10,1773955343.3779502,1773955345.3550165,1.9770662784576416,success
"sender: client0, message: > hello from client0"
11,1773955348.3847566,1773955350.4856207,2.1008641719818115,success
"sender: client0, message: > hello from client0"
12,1773955353.415784,1773955355.498895,2.083111047744751,success
13,1773955358.4211385,1773955360.510346,2.089207410812378,success
"sender: client0, message: > hello from client0"
14,1773955363.470193,1773955365.5417695,2.0715765953063965,success
"sender: client0, message: > hello from client0"
15,1773955368.486756,1773955370.5794759,2.092719793319702,success
