round,send_time,recv_time,rtt,status
14,1773958561.7919617,1773958563.9051635,2.113201856613159,success
15,1773958568.817178,1773958570.8811624,2.0639843940734863,success
16,1773958575.8555012,1773958577.957177,2.1016757488250732,success
17,1773958582.8751962,1773958584.9905365,2.115340232849121,success
18,1773958589.9032657,1773958591.995522,2.0922563076019287,success
19,1773958596.934686,1773958599.019238,2.084552049636841,success
20,1773958603.9649992,1773958606.0950296,2.130030393600464,success
21,1773958611.0027933,1773958613.1168647,2.1140713691711426,success
22,1773958618.026006,1773958620.1366193,2.1106133460998535,success
23,1773958625.0539806,1773958627.167616,2.113635301589966,success
24,1773958632.0867152,1773958634.2150395,2.128324270248413,success
25,1773958639.162983,1773958641.2426045,2.0796215534210205,success
26,1773958646.1805263,1773958648.282438,2.101911783218384,success
27,1773958653.2092297,1773958655.3147979,2.1055681705474854,success
28,1773958660.2297487,1773958662.281297,2.0515482425689697,success
29,1773958667.2628112,1773958669.3149257,2.052114486694336,success
30,1773958674.2983024,1773958676.3884933,2.090190887451172,success
31,1773958681.3235464,1773958683.4073396,2.0837931632995605,success
32,1773958688.348889,1773958690.4522877,2.103398561477661,success
33,1773958695.448636,1773958697.4398618,1.9912257194519043,success
34,1773958702.4612927,1773958704.5448246,2.0835318565368652,success
35,1773958709.4845622,1773958711.5830965,2.098534345626831,success
36,1773958716.5105422,1773958718.6164145,2.105872392654419,success
37,1773958723.5388567,1773958725.6509905,2.112133741378784,success
38,1773958730.5617268,1773958732.651628,2.0899012088775635,success
39,1773958737.5937665,1773958739.7037096,2.109943151473999,success
40,1773958744.6131573,1773958746.7301435,2.1169862747192383,success
41,1773958751.6459324,1773958753.7559578,2.110025405883789,success
42,1773958758.7528934,1773958760.6992307,1.9463372230529785,success
43,1773958765.7194273,1773958767.8407028,2.1212754249572754,success
